GEOID,STATE,COUNTY,CNTY_FIPS,STUSAB,hh1_t,median_hh_income,hh1_h,hh1_ht,autos_per_hh,pct_transit_j2w,households,pct_renters,median_commute
53033030401,53,33,53033,WA,21.58326167,74246,26.79704006,48.38030174,2.174511687,3.069739402,3123,33.23271959,13.82
53033031502,53,33,53033,WA,25.18268902,80547,25.66721926,50.84990828,2.435928144,0.834730539,1670,15.68181818,21.8
53033001600,53,33,53033,WA,21.22371565,102558,27.22275108,48.44646673,2.04845815,17.96289902,1816,19.64949549,8.03
53033001400,53,33,53033,WA,19.58090282,70689,26.17819351,45.75909632,1.664045435,14.32348962,2289,39.40411246,8.06
53033002200,53,33,53033,WA,21.57798069,134792,27.56587301,49.1438537,1.882379655,16.11713925,2202,11.78965225,6.84
53033032207,53,33,53033,WA,25.03990722,156343,27.99753903,53.03744625,2.320293399,2.858953959,1227,9.42812983,10.72
53033031204,53,33,53033,WA,24.73775315,79767,25.33838925,50.0761424,2.564313556,2.34897249,2309,17.47088186,15.27
53033004400,53,33,53033,WA,15.8642647,53763,26.67918248,42.54344718,1.290669856,30.63533403,2508,68.80326047,6.61
53033002800,53,33,53033,WA,18.23238809,100859,27.57244372,45.80483181,1.498348277,31.2235159,2119,38.99122807,7.01
53033026600,53,33,53033,WA,20.81815858,63287,26.14444022,46.96259881,2.123853211,8.852539466,872,29.13135593,7.52
53033007100,53,33,53033,WA,13.30643963,77358,26.80265503,40.10909467,0.896872673,26.5864255,2686,77.36318408,4.27
53033024200,53,33,53033,WA,22.60623943,183021,29.29407149,51.90031093,2.321899736,5.50953761,1137,9.140201394,5.94
53033031601,53,33,53033,WA,25.63500743,103977,25.85416412,51.48917154,2.6105,4.290824326,2000,6.857424766,14.65
53033032316,53,33,53033,WA,24.1693685,165714,27.96005416,52.12942266,2.287553648,5.470196164,1864,12.16075157,5.97
53033000700,53,33,53033,WA,18.011296,51371,25.7616611,43.7729571,1.365630713,26.46562338,2188,48.16414687,7.36
53033000200,53,33,53033,WA,19.22842954,63727,26.25360839,45.48203793,1.551365044,15.24040311,3553,41.42857143,8.32
53033000600,53,33,53033,WA,18.8332865,57023,26.11400405,44.94729056,1.649430324,19.48293113,3423,47.1480753,8.56
53033003000,53,33,53033,WA,19.58932985,93155,27.32076883,46.91009868,1.746076459,17.81251245,2485,30.98207327,7.3
53033025803,53,33,53033,WA,19.57600961,55171,25.23582319,44.81183281,1.763157895,5.695769077,1786,46.38069705,11.77
53033031904,53,33,53033,WA,24.61670263,91620,25.58354346,50.20024609,2.227445034,4.368474769,1319,13.17944899,13.59
53033027200,53,33,53033,WA,20.52797859,60865,25.59481718,46.12279577,1.90382387,17.47745453,863,40.2173913,8.83
53033022702,53,33,53033,WA,21.11140804,128009,28.68110806,49.7925161,2.018531718,10.88169961,1403,22.72108844,6.77
53033002700,53,33,53033,WA,19.48356667,118790,29.01679221,48.50035889,1.737344398,23.66932989,2410,28.51897185,7.6
53033011002,53,33,53033,WA,19.03084523,50259,26.8362562,45.86710143,1.799061767,28.11458214,1279,42.67468069,6.66
53033007900,53,33,53033,WA,13.57119713,70096,29.5766935,43.14789063,1.106902087,27.29478744,3115,66.66666667,5.57
53033031903,53,33,53033,WA,24.12358107,85327,26.33697438,50.46055546,2.546933667,4.267424571,2397,14.53831041,12.92
53033032321,53,33,53033,WA,24.44181808,201818,27.24994375,51.69176183,2.273942094,4.441663303,1796,5.929062996,6
53033032213,53,33,53033,WA,25.27039425,146373,26.48467303,51.75506728,2.182486631,6.08836448,1496,6.955380577,10.55
53033027500,53,33,53033,WA,20.08826302,50841,25.1941384,45.28240142,1.899360093,7.506601485,1719,40.69892473,9.15
53033027400,53,33,53033,WA,21.06583299,61780,25.93914951,47.0049825,2.26825029,2.742521712,1726,26.49945474,8.92
53033027600,53,33,53033,WA,20.7206122,56201,26.52202956,47.24264175,1.748647023,11.20414813,1663,47.71573604,9.41
53033030005,53,33,53033,WA,21.01237946,49522,25.85927452,46.87165398,2.086554164,6.981459069,1837,36.25393494,12.7
53033011102,53,33,53033,WA,19.91734665,61593,25.59002198,45.50736863,1.577002053,18.47554303,1461,39.68350578,7.49
53033032007,53,33,53033,WA,24.79078493,100260,25.81116798,50.60195291,2.457614404,3.191413238,1333,15.40636042,15.58
53033032006,53,33,53033,WA,24.38996032,87246,26.49974849,50.88970881,2.308870116,2.635010274,1894,17.4742268,14.75
53033002500,53,33,53033,WA,18.99195015,101397,27.32426442,46.31621457,1.602675059,16.18989996,1271,29.44358578,5.81
53033021000,53,33,53033,WA,20.86089386,80282,26.5818567,47.44275056,1.997169811,14.46913897,2120,26.06359158,9.35
53033011001,53,33,53033,WA,17.55431288,23904,24.69321372,42.2475266,1.272727273,18.79000898,1639,63.04863582,6.72
53033010701,53,33,53033,WA,18.73370527,59493,25.88556855,44.61927382,1.310714286,27.3394278,1400,53.30250991,7.5
53033025500,53,33,53033,WA,19.04740352,61571,25.37281399,44.42021751,1.827067669,7.41259768,1995,55.38612887,9.97
53033026801,53,33,53033,WA,18.94249157,45137,24.68810633,43.6305979,1.530827068,18.60313824,1995,60.36077706,8.03
53033026700,53,33,53033,WA,21.45326699,72941,25.97159234,47.42485933,1.999490316,14.28070679,1962,25.36697248,8.81
53033023801,53,33,53033,WA,18.1063173,89038,29.22902948,47.33534678,1.580724876,8.422031295,1214,45.01766784,6.13
53033000900,53,33,53033,WA,21.43208513,135227,27.54074248,48.9728276,1.982352941,10.88331912,850,10.64060803,7.03
53033008100,53,33,53033,WA,13.40415531,76320,31.62119167,45.02534698,0.580845289,19.86549255,2579,58.05109923,6.38
53033025805,53,33,53033,WA,19.91322386,58901,26.09465659,46.00788046,1.826912929,6.183986435,1895,43.76840039,11.16
53033025301,53,33,53033,WA,18.50907938,82404,26.43617176,44.94525114,1.772934974,5.66470904,2845,59.54983923,9.09
53033025601,53,33,53033,WA,20.34794435,63015,25.99216593,46.34011028,1.955156951,6.437010638,2007,37.34522041,10.38
53033029801,53,33,53033,WA,21.07967632,60721,25.9808477,47.06052403,2.153353556,7.794343574,2967,50.33280507,14.03
53033029700,53,33,53033,WA,20.28912078,42400,26.01191724,46.30103802,1.537365311,8.251599196,2877,47.96539571,14.55
53033032103,53,33,53033,WA,19.43424083,65885,26.63223141,46.06647225,1.548810102,9.997596332,2059,51.91685912,10.52
53033003800,53,33,53033,WA,19.21000493,91875,27.62322139,46.83322632,1.659976387,20.35952658,847,25.16198704,5.67
